Zip,State
2163,MA
14151,NY
13123,NY
46064,IN
67491,KS
95035,CA
19376,PA
30252,GA
4029,ME
27263,NC
17880,PA
58558,ND
93277,CA
76461,TX
88586,TX
76643,TX
53594,WI
44096,OH
57437,SD
4062,ME
97423,OR
44709,OH
48937,MI
10956,NY
8505,NJ
22832,VA
40020,KY
47135,IN
40583,KY
52044,IA
33439,FL
47334,IN
94643,CA
53083,WI
29412,SC
98116,WA
6082,CT
80813,CO
29079,SC
61843,IL
94914,CA
54645,WI
97115,OR
48279,MI
10176,NY
54760,WI
30439,GA
24551,VA
41773,KY
43836,OH
99621,AK
71355,LA
97357,OR
62957,IL
29808,SC
98033,WA
14726,NY
91358,CA
58244,ND
27828,NC
52594,IA
10130,NY
20146,VA
25849,WV
64679,MO
51364,IA
79355,TX
10629,NY
79958,TX
51543,IA
76671,TX
24656,VA
82501,WY
61432,IL
62423,IL
16351,PA
90397,CA
95449,CA
3043,NH
31622,GA
57270,SD
13052,NY
14806,NY
33139,FL
18099,PA
52356,IA
72113,AR
32713,FL
77257,TX
49115,MI
66939,KS
70154,LA
70070,LA
46859,IN
75683,TX
28269,NC
40205,KY
27868,NC
35290,AL
11763,NY
12083,NY
77315,TX
50257,IA
64180,MO
73104,OK
32597,FL
59921,MT
21747,MD
63881,MO
8542,NJ
15906,PA
62316,IL
19979,DE
4410,ME
33537,FL
10968,NY
32449,FL
38018,TN
31073,GA
72715,AR
77489,TX
14733,NY
47925,IN
24467,VA
85332,AZ
80644,CO
54736,WI
2746,MA
13782,NY
64831,MO
14710,NY
8625,NJ
23665,VA
32767,FL
54466,WI
29715,SC
99160,WA
21505,MD
4567,ME
21622,MD
93607,CA
41022,KY
90002,CA
45274,OH
98666,WA
8677,NJ
42071,KY
82718,WY
46556,IN
73443,OK
74352,OK
8884,NJ
18960,PA
12496,NY
23314,VA
18471,PA
96151,CA
12950,NY
62767,IL
12788,NY
50142,IA
48426,MI
68710,NE
83809,ID
75154,TX
41572,KY
35902,AL
98201,WA
37501,TN
75573,TX
8062,NJ
93888,CA
89557,NV
12883,NY
93628,CA
28241,NC
66505,KS
54769,WI
49130,MI
12082,NY
72182,AR
74736,OK
68854,NE
16373,PA
13313,NY
25540,WV
16865,PA
76374,TX
58002,ND
54113,WI
63041,MO
37716,TN
32044,FL
62365,IL
90014,CA
76379,TX
47830,IN
67642,KS
86044,AZ
32707,FL
55360,MN
8083,NJ
38481,TN
61751,IL
68431,NE
85215,AZ
29306,SC
38220,TN
62527,IL
30379,GA
12154,NY
74477,OK
43115,OH
71241,LA
75503,TX
12768,NY
38058,TN
38917,MS
47802,IN
33436,FL
87070,NM
39114,MS
49203,MI
49886,MI
47666,IN
29153,SC
82005,WY
63902,MO
37134,TN
52146,IA
32807,FL
70130,LA
45148,OH
47387,IN
64752,MO
45034,OH
13477,NY
65734,MO
85098,AZ
79104,TX
63852,MO
25008,WV
79343,TX
64145,MO
77445,TX
95158,CA
95223,CA
61434,IL
64070,MO
85023,AZ
65726,MO
77237,TX
74459,OK
98364,WA
15251,PA
62262,IL
98270,WA
62776,IL
43420,OH
4453,ME
46898,IN
75264,TX
71113,LA
28111,NC
1111,MA
28101,NC
59443,MT
37184,TN
17249,PA
66085,KS
15240,PA
24060,VA
13117,NY
11791,NY
62664,IL
83808,ID
83350,ID
20570,DC
34274,FL
68323,NE
21054,MD
46912,IN
60195,IL
56531,MN
61519,IL
33890,FL
13502,NY
20195,VA
84520,UT
38664,MS
24894,WV
95992,CA
78751,TX
49501,MI
79848,TX
32625,FL
29686,SC
41553,KY
12545,NY
47935,IN
24322,VA
30168,GA
21703,MD
8029,NJ
64507,MO
40285,KY
32050,FL
36374,AL
1242,MA
60162,IL
24073,VA
8889,NJ
24485,VA
11560,NY
36689,AL
59834,MT
63330,MO
33712,FL
62706,IL
62690,IL
56043,MN
48663,MI
15147,PA
63849,MO
77262,TX
24868,WV
36033,AL
66959,KS
76945,TX
83113,WY
44021,OH
70426,LA
36069,AL
45893,OH
77982,TX
94045,CA
61568,IL
48610,MI
98811,WA
14008,NY
93924,CA
62670,IL
54913,WI
23274,VA
32237,FL
71730,AR
91396,CA
21227,MD
48125,MI
59547,MT
79084,TX
83323,ID
46228,IN
90041,CA
78701,TX
38505,TN
86301,AZ
80645,CO
57257,SD
74932,OK
79565,TX
93639,CA
36427,AL
47520,IN
19030,PA
93621,CA
19544,PA
62468,IL
66540,KS
48612,MI
72617,AR
38260,TN
79517,TX
54307,WI
70032,LA
44320,OH
16434,PA
30507,GA
95406,CA
66048,KS
70080,LA
4240,ME
29410,SC
17403,PA
60430,IL
80949,CO
45373,OH
43901,OH
78589,TX
15532,PA
30253,GA
95329,CA
87323,NM
2462,MA
26425,WV
30015,GA
73177,OK
81064,CO
61736,IL
26719,WV
72536,AR
37738,TN
85322,AZ
93556,CA
45155,OH
94030,CA
99174,WA
84036,UT
97324,OR
31707,GA
77660,TX
82715,WY
12804,NY
20113,VA
98320,WA
42280,KY
28787,NC
48730,MI
98402,WA
37221,TN
89143,NV
15022,PA
48242,MI
80479,CO
12307,NY
92149,CA
30421,GA
55335,MN
10528,NY
88260,NM
26621,WV
56735,MN
52355,IA
17026,PA
45303,OH
35114,AL
84631,UT
26342,WV
74860,OK
97456,OR
62882,IL
57013,SD
72578,AR
3910,ME
19066,PA
12304,NY
59422,MT
60178,IL
37625,TN
17213,PA
75359,TX
59417,MT
93389,CA
8816,NJ
37249,TN
67060,KS
68772,NE
93234,CA
49613,MI
89116,NV
79088,TX
92660,CA
45325,OH
62810,IL
10553,NY
59250,MT
21606,MD
50135,IA
77587,TX
96719,HI
67105,KS
38756,MS
39664,MS
24613,VA
98938,WA
96141,CA
54772,WI
5827,VT
17021,PA
3224,NH
35552,AL
20141,VA
24536,VA
99785,AK
80273,CO
75931,TX
46865,IN
60545,IL
63782,MO
31632,GA
35449,AL
24124,VA
15209,PA
56223,MN
49868,MI
17765,PA
12464,NY
38368,TN
30370,GA
77072,TX
95228,CA
30448,GA
18336,PA
18251,PA
55815,MN
21838,MD
54990,WI
92651,CA
6373,CT
28306,NC
59828,MT
48888,MI
72430,AR
30117,GA
40289,KY
85205,AZ
94289,CA
63880,MO
23970,VA
46974,IN
25628,WV
91361,CA
53783,WI
98528,WA
95979,CA
64788,MO
45831,OH
64167,MO
50268,IA
56761,MN
16853,PA
19896,DE
85042,AZ
94172,CA
94124,CA
23827,VA
14718,NY
75227,TX
43903,OH
67512,KS
63150,MO
8829,NJ
79925,TX
24035,VA
33153,FL
50150,IA
15237,PA
74063,OK
12492,NY
55049,MN
78131,TX
45693,OH
59901,MT
90813,CA
10072,NY
43764,OH
30368,GA
27965,NC
46140,IN
87121,NM
20190,VA
33760,FL
55003,MN
11553,NY
61064,IL
4063,ME
30152,GA
2739,MA
16036,PA
70363,LA
75865,TX
53280,WI
65473,MO
10977,NY
10457,NY
56118,MN
49318,MI
33662,FL
24053,VA
46723,IN
74193,OK
8650,NJ
40930,KY
55127,MN
94087,CA
38646,MS
80932,CO
47588,IN
91024,CA
23011,VA
68777,NE
99671,AK
71921,AR
48225,MI
27499,NC
49885,MI
3064,NH
19962,DE
96158,CA
12887,NY
46965,IN
73160,OK
25844,WV
3607,NH
12777,NY
53104,WI
43611,OH
27701,NC
95678,CA
61517,IL
52701,IA
59911,MT
50350,IA
87511,NM
30808,GA
79007,TX
37201,TN
60914,IL
18440,PA
94540,CA
85754,AZ
89012,NV
37922,TN
20597,DC
20859,MD
17843,PA
77974,TX
